inchikey,smiles,name,T_K,dielectric,uncertainty,uncertainty_value,uncertainty_kind,confidence_level,uncertainty_json,source_doi,source_dois_all,n_observations,n_historical_observations,source_scope,crosscheck_available,gate_flags,source_record_id,source_page,source_quality,selection_rank,structure_resolution_source,al_round1_hit,max_tanimoto_solvfunc
JSRLURSZEMLAFO-UHFFFAOYSA-N,Brc1cccc(Br)c1,m-Dibromobenzene,293.15,4.80,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p25:010,25,three_figures,81,pubchem,false,0.000000
RFFLAFLAYFXFSW-UHFFFAOYSA-N,Clc1ccccc1Cl,o-Dichlorobenzene,298.15,9.93,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p25:011,25,three_figures,82,pubchem,false,0.000000
ZPQOPVIELGIULI-UHFFFAOYSA-N,Clc1cccc(Cl)c1,m-Dichlorobenzene,298.15,5.04,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p25:012,25,three_figures,83,pubchem,false,0.000000
SFPQFQUXAJOWNF-UHFFFAOYSA-N,Ic1cccc(I)c1,m-Diiodobenzene,298.15,4.25,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p25:014,25,three_figures,84,pubchem,false,0.000000
ROSDSFDQCJNGOL-UHFFFAOYSA-N,CNC,Dimethylamine,298.15,5.26,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p16:018,16,three_figures,85,pubchem,false,0.000000
GETQZCLCWQTVFV-UHFFFAOYSA-N,CN(C)C,Trimethylamine,298.15,2.44,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p19:008,19,three_figures,86,pubchem,false,0.000000
YLQBMQCUIZJEEH-UHFFFAOYSA-N,c1ccoc1,Furan,298.15,2.95,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p19:010,19,three_figures,87,pubchem,false,0.000000
WQAQPCDUOCURKW-UHFFFAOYSA-N,CCCCS,1-Butanethiol,298.15,4.95,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p22:009,22,three_figures,88,pubchem,false,0.000000
LJSQFQKUNVCTIA-UHFFFAOYSA-N,CCSCC,Ethyl sulfide,298.15,5.72,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p22:010,22,three_figures,89,pubchem,false,0.000000
JUJWROOIHBZHMG-UHFFFAOYSA-N,c1ccncc1,Pyridine,298.15,12.3,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p22:018,22,three_figures,90,pubchem,false,0.000000
OEPRBXUJOQLYID-UHFFFAOYSA-N,CCCCCF,1-Fluoropentane,293.15,4.24,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p24:011,24,three_figures,91,pubchem,false,0.000000
HLLCNVLEVVFTJB-UHFFFAOYSA-N,CCC(C)(C)F,2-Fluoro-2-methylbutane,293.15,5.89,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p24:012,24,three_figures,92,pubchem,false,0.000000
ZRKMQKLGEQPLNS-UHFFFAOYSA-N,CCCCCS,1-Pentanethiol,298.15,4.55,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p25:005,25,three_figures,93,pubchem,false,0.000000
QARVLSVVCXYDNA-UHFFFAOYSA-N,Brc1ccccc1,Bromobenzene,298.15,5.40,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p25:015,25,three_figures,94,pubchem,false,0.000000
PYLWMHQQBFSUBP-UHFFFAOYSA-N,Fc1ccccc1,Fluorobenzene,298.15,5.42,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p26:005,26,three_figures,95,pubchem,false,0.000000
SNHMUERNLJLMHN-UHFFFAOYSA-N,Ic1ccccc1,Iodobenzene,293.15,4.63,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p26:006,26,three_figures,96,pubchem,false,0.000000
PAYRUJLWNCNPSJ-UHFFFAOYSA-N,Nc1ccccc1,Aniline,293.15,6.89,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p26:011,26,three_figures,97,pubchem,false,0.000000
ZMANZCXQSJIPKH-UHFFFAOYSA-N,CCN(CC)CC,Triethylamine,298.15,2.42,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p29:015,29,three_figures,98,pubchem,false,0.000000
IBSQPLPBRSHTTG-UHFFFAOYSA-N,Cc1ccccc1Cl,o-Chlorotoluene,293.15,4.45,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p30:011,30,three_figures,99,pubchem,false,0.000000
OSOUNOBYRMOXQQ-UHFFFAOYSA-N,Cc1cccc(Cl)c1,m-Chlorotoluene,293.15,5.55,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p30:012,30,three_figures,100,pubchem,false,0.000000
NPDACUSDTOMAMK-UHFFFAOYSA-N,Cc1ccc(Cl)cc1,p-Chlorotoluene,293.15,6.08,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p30:013,30,three_figures,101,pubchem,false,0.000000
MMZYCBHLNZVROM-UHFFFAOYSA-N,Cc1ccccc1F,o-Fluorotoluene,303.15,4.22,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p30:014,30,three_figures,102,pubchem,false,0.000000
BTQZKHUEUDPRST-UHFFFAOYSA-N,Cc1cccc(F)c1,m-Fluorotoluene,303.15,5.42,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p30:015,30,three_figures,103,pubchem,false,0.000000
WRWPPGUCZBJXKX-UHFFFAOYSA-N,Cc1ccc(F)cc1,p-Fluorotoluene,303.15,5.86,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p30:016,30,three_figures,104,pubchem,false,0.000000
QQONPFPTGQHPMA-UHFFFAOYSA-N,C=CC,Propene,293.15,1.875,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p17:019,17,three_figures,105,pubchem,false,0.000000
PMJHHCWVYXUKFD-SNAWJCMRSA-N,C=C/C=C/C,"1,3-Pentadiene",298.15,2.32,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p23:001,23,three_figures,106,pubchem,false,0.000000
RRHGJUQNOFWUDK-UHFFFAOYSA-N,C=CC(=C)C,"2-Methyl-1,3-butadiene (Isoprene)",298.15,2.10,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p23:002,23,three_figures,107,pubchem,false,0.000000
APPOKADJQUIAHP-UHFFFAOYSA-N,CC=CC=CC,"2,4-Hexadiene",298.15,2.22,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p27:006,27,three_figures,108,pubchem,false,0.000000
RCJMVGJKROQDCB-UHFFFAOYSA-N,C=C(C)C=CC,"2-Methyl-1,3-pentadiene",298.15,2.42,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p27:007,27,three_figures,109,pubchem,false,0.000000
BOGRNZQRTNVZCZ-AATRIKPKSA-N,C=C/C(C)=C/C,"3-Methyl-1,3-pentadiene",298.15,2.43,,,not_reported,,[],10.6028/nbs.circ.514,10.6028/nbs.circ.514,1,0,nbs514_manual_static_293.15_303.15K,false,zero_frequency|pure_component|experimental|literature_manual_entry|single_source|nbs514_circular_514,nbs514:p27:008,27,three_figures,110,pubchem,false,0.000000
